n_mels,groups,params,flops,test_acc,train_loss,epoch_time
20,1,43522,2693376.0,0.9635922330097088,0.0957441726513207,10.466955423355103
20,1,43522,2693376.0,0.9830097087378641,0.08498304055072367,10.476658821105957
40,1,44162,2822656.0,0.9793689320388349,0.08924267232418061,9.432510614395142
40,1,44162,2822656.0,0.9453883495145631,0.0956734912097454,9.460376977920532
80,1,45442,3081216.0,0.9781553398058253,0.0895572478696704,9.635384798049927
80,1,45442,3081216.0,0.9635922330097088,0.09811071002855896,9.638406991958618
40,2,27266,1590784.0,0.9745145631067961,0.09232721766456961,9.276068925857544
40,2,27266,1590784.0,0.9854368932038835,0.09618854211643338,9.275982856750488
40,4,18818,974848.0,0.9805825242718447,0.10121536565944553,9.311933279037476
40,4,18818,974848.0,0.9793689320388349,0.10350918915122748,9.313268423080444
40,8,14594,666880.0,0.9793689320388349,0.11985603056848049,9.353131771087646
40,8,14594,666880.0,0.9648058252427184,0.11803958557546139,9.3538179397583
40,16,12482,512896.0,0.9502427184466019,0.13756307385861874,10.550236463546753
40,16,12482,512896.0,0.9757281553398058,0.14000267390161752,10.552844285964966